Nacelle Position,Wind direction,Ambient Air temp,Bearing Temp,BladePitchAngle,GearBoxSumpTemp,Generator Speed,Hub Speed,Power,Wind Speed,GearTemp,GeneratorTemp,TurbineName,TimeStamp,FaultCode1,FaultCode2,FaultCode3,FaultCode4,FaultCode5,Failure
271.821073643679,106.841790435168,42.1956864005755,16.5604212444265,201.124239128319,199.732843230342,69.413701612191,3,625.958787541614,3.59384775499659,156.620126030801,110.870458655024,Turbine_4,2016-02-10 12:00:00,0,4,0,3,2,0
159.083729205828,171.423361137274,-5.55501552621506,-0.385085311360992,316.993222616106,30.7279617092956,69.2051073096841,4,385.291488631802,20.0255174571158,305.072100701088,144.095916475762,Turbine_4,2016-02-10 13:00:00,0,0,1,3,4,0
75.420142099852,127.258565431704,37.3321719813032,34.9066732352065,322.425540415317,42.2028573416939,44.8476957263356,2,169.865763755661,20.753182730815,332.664224395957,52.8595198131928,Turbine_4,2016-02-10 14:00:00,4,1,3,4,1,0
273.14358965782,335.156369940831,-18.3821871416737,-3.80094814430334,295.576343785327,151.919650476014,64.1601924984209,1,492.506738173458,6.66118140584135,84.764837306332,49.9911233616742,Turbine_4,2016-02-10 15:00:00,3,3,2,4,2,0
317.424877675747,145.083616270139,26.2857176037056,29.0498810116222,83.9408714830817,43.5443676495427,59.7935256998958,4,1495.21568635697,5.1501998711419,175.983306441544,32.5711758257227,Turbine_4,2016-02-10 16:00:00,1,0,2,0,0,0
267.714106519882,256.863397575276,-39.6263068008194,24.7445111571669,233.858507209748,85.1195963776288,62.4433680002739,2,1171.22995748037,8.98146559265801,393.079367704056,76.0197566548393,Turbine_4,2016-02-10 17:00:00,0,0,2,4,0,0
139.564346535251,1.30982414402484,28.8685613136713,-0.607968205490133,326.656546488751,22.1871726865283,43.4255547263454,4,1467.92802316309,20.7561091676008,86.4701248218588,109.33974957683,Turbine_4,2016-02-10 18:00:00,2,2,3,1,1,0
58.4062415826382,75.0806483928145,27.7804548800945,26.0489667427423,320.971435337218,115.859506442135,53.4488136931784,4,263.341446021765,11.9719926564586,82.8600921557237,82.8103871860688,Turbine_4,2016-02-10 19:00:00,1,3,1,4,2,0
139.947501053252,283.443939608337,23.6052219125041,44.4626555824776,343.708501232504,195.385423942271,56.0887734210044,3,528.633339459971,6.15359621871203,396.272012163747,86.5179820953305,Turbine_4,2016-02-10 20:00:00,2,0,1,2,1,0
352.359154766743,346.304479363657,-0.315434543817666,2.04619472264561,217.146678424651,157.025475170983,65.5082116107786,4,447.279548926506,24.2274031547374,362.077423930851,27.1319585275528,Turbine_4,2016-02-10 21:00:00,2,2,1,4,3,0
341.862011678847,179.534154872857,-13.1839096082065,38.4170125780214,128.561722005137,71.7067681108008,48.9773432733349,2,214.82639084014,1.34538182496479,236.804174714998,73.3069282855481,Turbine_4,2016-02-10 22:00:00,3,4,0,0,3,0
252.329046531959,305.666441110488,-25.5682255283014,30.3415739532504,338.419526782146,88.7806077017511,53.9633833190585,2,587.595300802372,2.6329093688766,305.902806591166,110.353465032413,Turbine_4,2016-02-10 23:00:00,0,0,1,3,0,0
232.298844910393,134.997283963949,-18.1580521864528,3.19370632393535,16.7368104457821,164.922784942,68.5507065075616,1,775.980629573337,23.4099542839316,46.4298425138867,86.3604936121277,Turbine_4,2016-02-11 00:00:00,2,1,2,0,0,0
292.516502684788,49.7086758626665,28.6525198255837,22.7267717296966,178.215884611788,126.050799173492,54.2719064095633,2,1055.22555394045,16.7567269038357,271.576330510387,49.1545254306445,Turbine_4,2016-02-11 01:00:00,4,2,0,0,1,0
40.4300126239796,99.1366487582352,41.6010498828484,7.0946242050179,343.019879694213,45.9760659832599,68.3651357179339,1,1341.9013252618,3.669477638571,235.276922657959,25.9830882334788,Turbine_4,2016-02-11 02:00:00,2,1,4,4,2,0
12.809753927735,108.623898409106,13.6016944785876,5.99717744148876,19.976037569656,36.7066526446802,66.1003642484703,3,452.300154431664,4.64206205690745,35.9530222097961,134.273733823503,Turbine_4,2016-02-11 03:00:00,0,3,0,2,2,0
208.064913200757,274.40661914711,26.5839086249803,35.6808608311844,55.6153690877344,122.127602091483,54.7140119012813,3,169.787520043706,11.588916892971,104.439351238531,39.8247760973825,Turbine_4,2016-02-11 04:00:00,4,2,1,1,4,0
19.0037029844795,24.7532038870799,-11.079997733256,17.3889637436133,94.4571463875364,28.3063338942817,49.0000246779809,3,497.731645541822,8.9011203560792,84.2027063136534,95.4826444955056,Turbine_4,2016-02-11 05:00:00,1,2,4,2,4,0
29.6291451547867,188.072252352144,22.7673550137715,14.966924827836,304.516815929906,173.172583173898,58.959954309671,2,825.619734092839,7.84275201395001,74.556571531891,100.354935748949,Turbine_4,2016-02-11 06:00:00,4,1,1,3,2,0
14.7039969048833,320.144019252177,-19.6651864845084,13.7185285046056,96.2950442571214,116.323665020704,70.6100651623846,1,432.151862962969,17.5012124154246,393.92236864011,79.2595247194444,Turbine_4,2016-02-11 07:00:00,2,1,2,1,1,0
310.252017315492,227.40729174356,-22.271086478853,23.924695149033,2.33752358539188,179.429815413054,58.6596199138771,3,1375.69621445924,10.2355231977051,291.100891958196,42.5379064370872,Turbine_4,2016-02-11 08:00:00,3,1,0,0,0,0
262.198250167542,25.6486231933814,27.7542147313129,12.8859123543865,10.7164062064157,178.515984309236,44.3618368883677,3,246.495000414255,11.3105792626873,266.507196266315,143.01426707006,Turbine_4,2016-02-11 09:00:00,3,3,0,2,4,0
